component,metric,Selected
Core18 (Socket 0),AFREQ,x
Core18 (Socket 0),CFREQ,x
Core18 (Socket 0),L3MISS,x
Core18 (Socket 0),L2MISS,x
Core18 (Socket 0),L3HIT,x
Core18 (Socket 0),L2HIT,x
Core18 (Socket 0),L3MPI,x
Core18 (Socket 0),L2MPI,x
Core18 (Socket 0),C0res%,x
Core18 (Socket 0),C1res%,x
Core18 (Socket 0),C3res%,x
Core18 (Socket 0),C6res%,x
Core18 (Socket 0),C7res%,x
Core18 (Socket 0),TEMP,x
Core18 (Socket 0),INST,x
Core18 (Socket 0),ACYC,x
Core18 (Socket 0),TIME(ticks),x
Core18 (Socket 0),PhysIPC,x
Core18 (Socket 0),PhysIPC%,x
Core18 (Socket 0),INSTnom,x
Core18 (Socket 0),INSTnom%,x
Core19 (Socket 0),EXEC,x
Core19 (Socket 0),IPC,x
Core19 (Socket 0),FREQ,x
Core19 (Socket 0),AFREQ,x
Core19 (Socket 0),CFREQ,x
Core19 (Socket 0),L3MISS,x
Core19 (Socket 0),L2MISS,x
Core19 (Socket 0),L3HIT,x
Core19 (Socket 0),L2HIT,x
Core19 (Socket 0),L3MPI,x
Core19 (Socket 0),L2MPI,x
Core19 (Socket 0),C0res%,x
Core19 (Socket 0),C1res%,x
Core19 (Socket 0),C3res%,x
Core19 (Socket 0),C6res%,x
Core19 (Socket 0),C7res%,x
Core19 (Socket 0),TEMP,x
Core19 (Socket 0),INST,x
Core19 (Socket 0),ACYC,x
Core19 (Socket 0),TIME(ticks),x
Core19 (Socket 0),PhysIPC,x
Core19 (Socket 0),PhysIPC%,x
Core19 (Socket 0),INSTnom,x
Core19 (Socket 0),INSTnom%,x
